rubro,nombre,ciudad,web,fuente_publica,senal_automatizacion,por_verificar
Inmobiliaria y corretaje,Pro Casa,Santiago,,https://www.rankia.cl/blog/mejores-opiniones-chile/4102780-ranking-corredoras-propiedades,Red de corredores independientes ("Gente Pro") con alto volumen de contactos entrantes por propiedad,Confirmar tamaño real del equipo detrás de la red y quién decide
Inmobiliaria y corretaje,Golden Propiedades,Santiago,,https://www.mercadolibre.cl/blog/re-inmobiliaria-cuales-son-las-mejores-inmobiliarias-de-santiago,Más de 2.000 inmuebles vendidos/arrendados desde 2006 -> alto volumen histórico de consultas,Confirmar canal principal de contacto (WhatsApp vs. formulario) y si ya usan CRM
Inmobiliaria y corretaje,Deluno Propiedades,Santiago Oriente y litoral central,,https://www.rankia.cl/blog/mejores-opiniones-chile/4102780-ranking-corredoras-propiedades,Cobertura multi-zona (Santiago Oriente + Cachagua/Cantagua/Maitencillo/Papudo/Zapallar) -> coordinación de visitas a distancia,Confirmar si agenda visitas a propiedades manualmente
Inmobiliaria y corretaje,MBM Propiedades,Santiago,https://mbm.cl,https://mbm.cl/las-mejores-empresas-de-bienes-raices-en-chile/,Más de 20 años operando (fundada el 2000) -> proceso probablemente heredado y no digitalizado,Revisar si el sitio tiene agendamiento o cotización online
Inmobiliaria y corretaje,Grupo Cueto,Santiago,https://grupocueto.cl,https://grupocueto.cl,"Ofrece venta, arriendo, administración e inversión -> varias líneas de negocio en paralelo",Revisar si cada línea de negocio se gestiona con herramientas distintas
Inmobiliaria y corretaje,Vercetti Propiedades,Santiago,https://www.vercettipropiedades.cl,https://www.vercettipropiedades.cl,"Servicio completo: venta, compra, arriendo, valorización y administración -> alta carga de seguimiento por cliente",Confirmar tamaño de equipo y si usan WhatsApp Business
Inmobiliaria y corretaje,Propietat Corredora,Santiago,https://www.propietat.cl,https://www.propietat.cl,Arriendo + administración + venta desde una sola oficina boutique,Confirmar si la administración de propiedades se lleva en planillas
Inmobiliaria y corretaje,Arriendos Chile,Santiago,https://arriendoschile.cl,https://arriendoschile.cl,Administración de propiedades con asistencia jurídica incluida -> cruce de información entre áreas (arriendo + legal),Confirmar si el área legal y la de arriendo comparten sistema
Inmobiliaria y corretaje,Gia Propiedades,Santiago,https://www.gia-propiedades.cl,https://www.gia-propiedades.cl,Corredora boutique de tamaño acotado,Confirmar volumen real de consultas mensuales
Servicios profesionales B2B (legal),CZ Abogados,Providencia,https://czabogados.cl,https://czabogados.cl,Declara explícitamente atender "empresas de diversos rubros y tamaños" -> cada cliente cotiza distinto,Confirmar si las cotizaciones se arman desde plantilla o desde cero
Servicios profesionales B2B (legal),Abogaley,Santiago,https://www.abogaley.cl,https://www.abogaley.cl,"Cubre derecho corporativo y tributario para empresas: creación de sociedades, contratos, cumplimiento normativo",Confirmar tamaño del equipo y si hay recepción/asistente dedicado
Servicios profesionales B2B (legal),Schneider Abogados,"Las Condes, Santiago",https://schneiderabogados.cl,https://schneiderabogados.cl/abogado/empresas,Ofrece "planes" jurídicos para pymes -> volumen de clientes recurrentes con consultas repetitivas,Confirmar cómo gestionan el seguimiento de cada plan contratado
Servicios profesionales B2B (legal),AIJ Abogados,Santiago,https://www.aijabogados.cl,https://www.aijabogados.cl,Estudio jurídico generalista para empresas y personas,Confirmar tamaño de equipo y volumen de consultas
Servicios profesionales B2B (legal),AR Abogados,Santiago,https://arabogados.cl,https://arabogados.cl,"Estudio jurídico generalista, soluciones ""adaptadas a cada caso"" -> poco estandarizado",Confirmar si el primer contacto es por WhatsApp o formulario
Servicios profesionales B2B (legal),MisAbogados,"Las Condes, Santiago",https://www.misabogados.com,https://www.misabogados.com,Posicionado como servicio legal masivo/transparente -> alto volumen de consultas entrantes esperable,Confirmar canal de primer contacto y tiempos de respuesta declarados
Servicios profesionales B2B (contable/tributario),BS Chile Consultores,Santiago (atiende todo Chile),https://www.bschileconsultores.cl,https://www.bschileconsultores.cl/servicios-contables-pymes-chile/,Declara especialización explícita en pymes y medianas empresas -> volumen alto de clientes recurrentes,Confirmar si la contabilidad/reportería a clientes es manual
Servicios profesionales B2B (contable/tributario),Kreston MCA Chile,Santiago,,https://en.wikipedia.org/wiki/Kreston_International,Parte de red internacional de auditoría (Kreston) orientada a medianas y grandes empresas,Verificar tamaño real de la oficina local en Chile antes de contactar
Servicios profesionales B2B (contable/tributario),Consultoría SAV,Santiago,https://consultorasav.cl,https://consultorasav.cl,Outsourcing contable/administrativo/tributario para pymes -> gestiona reportería de varios clientes en paralelo,Confirmar cantidad de clientes activos y si usan un sistema único o uno por cliente
Servicios profesionales B2B (RR.HH.),Luppa,Santiago,https://somosluppa.cl,https://somosluppa.cl,Reclutamiento + selección + desarrollo organizacional -> procesos con muchas etapas y candidatos en paralelo,Confirmar si el seguimiento de candidatos es manual
Servicios profesionales B2B (RR.HH.),YouHR,Santiago,https://youhr.cl,https://youhr.cl,Declara enfoque explícito en pymes: "gestión operativa diaria" + reclutamiento + asesoría laboral,Confirmar tamaño de equipo interno y volumen de procesos simultáneos
Servicios profesionales B2B (RR.HH.),Wiseplan,Santiago,https://www.wiseplan.cl,https://www.wiseplan.cl/consultora-de-recursos-humanos-en-chile/,Cálculo y pago de remuneraciones + administración de personas -> reportería periódica repetitiva,Confirmar si el cálculo de remuneraciones está automatizado o se arma a mano
